,Country,Confirmed,Deaths,Recovered,Active
278,India,18414,281,14580.0,3553.0
279,India,2353721,29547,2174247.0,149927.0
280,India,603369,3484,578748.0,21137.0
281,India,59321,620,53531.0,5170.0
282,India,0,0,0.0,0.0
283,India,1702624,21786,1671852.0,8986.0
284,India,336879,6935,325311.0,4633.0
285,India,1461257,16896,1426710.0,17651.0
286,Indonesia,1911358,52879,1745091.0,113388.0
287,Iran,3028717,82098,2652792.0,293827.0
288,Iraq,1254643,16705,1172227.0,65711.0
289,Ireland,266804,4941,23364.0,238499.0
290,Israel,839666,6430,832931.0,305.0
291,Italy,74464,2502,70433.0,1529.0
292,Italy,26688,585,23124.0,2979.0
293,Italy,68232,1208,58929.0,8095.0
294,Italy,422539,7337,355124.0,60078.0
295,Italy,385684,13233,364106.0,8345.0
296,Italy,107369,3794,98986.0,4589.0
297,Italy,344407,8262,329976.0,6169.0
298,Italy,103051,4342,98270.0,439.0
299,Italy,839475,33726,787358.0,18391.0
300,Italy,103411,3025,97587.0,2799.0
301,Italy,13632,491,13059.0,82.0
302,Italy,73193,1180,71610.0,403.0
303,Italy,45687,1360,44081.0,246.0
304,Italy,362146,11675,347802.0,2669.0
305,Italy,252233,6588,232428.0,13217.0
306,Italy,57008,1484,43473.0,12051.0
307,Italy,229340,5905,216713.0,6722.0
308,Italy,243375,6816,232101.0,4458.0
309,Italy,56667,1417,54213.0,1037.0
310,Italy,11656,472,11089.0,95.0
311,Italy,424615,11600,407095.0,5920.0
312,Jamaica,49277,997,27542.0,20738.0
313,Japan,49932,871,45710.0,3351.0
314,Japan,763,19,727.0,17.0
315,Japan,2448,29,2328.0,91.0
316,Japan,38360,693,36647.0,1020.0
317,Japan,2740,74,2641.0,25.0
318,Japan,1064,34,1011.0,19.0
319,Japan,35010,495,32584.0,1931.0
320,Japan,4714,152,4428.0,134.0
321,Japan,9085,174,8705.0,206.0
322,Japan,7985,149,7675.0,161.0
323,Japan,11234,154,10548.0,532.0
324,Japan,40466,1288,34653.0,4525.0
325,Japan,40657,1254,38441.0,962.0
326,Japan,10145,157,9635.0,353.0
327,Japan,3880,113,3633.0,134.0
328,Japan,1590,46,1414.0,130.0
329,Japan,2065,26,1978.0,61.0
330,Japan,3526,35,3364.0,127.0
331,Japan,64258,921,61328.0,2009.0
332,Japan,1664,21,1504.0,139.0
333,Japan,6416,111,6100.0,205.0
334,Japan,16355,227,15645.0,483.0
335,Japan,5144,109,4942.0,93.0
336,Japan,9076,84,8791.0,201.0
337,Japan,3053,26,2983.0,44.0
338,Japan,4933,88,4785.0,60.0
339,Japan,3066,68,2837.0,161.0
340,Japan,7968,122,7784.0,62.0
341,Japan,3367,45,3157.0,165.0
342,Japan,3467,59,3316.0,92.0
343,Japan,7550,120,7125.0,305.0
344,Japan,19566,160,16985.0,2421.0
345,Japan,101778,2526,92651.0,6601.0
346,Japan,3028,4,2953.0,71.0
347,Japan,2552,24,2505.0,23.0
348,Japan,45090,818,43051.0,1221.0
349,Japan,5410,84,5024.0,302.0
350,Japan,562,0,533.0,29.0
351,Japan,8870,142,8246.0,482.0
352,Japan,6682,80,6322.0,280.0
353,Japan,1646,62,1561.0,23.0
354,Japan,166437,2140,160244.0,4053.0
355,Japan,467,2,449.0,16.0
356,Japan,1967,37,1843.0,87.0
357,Japan,8,0,8.0,0.0
358,Japan,2653,44,2523.0,86.0
359,Japan,2016,47,1903.0,66.0
360,Japan,3067,69,2817.0,181.0
361,Japan,1844,20,1537.0,287.0
362,Jordan,739847,9530,726219.0,4098.0
363,Kazakhstan,457474,3491,428494.0,25489.0
364,Kenya,175337,3410,120208.0,51719.0
365,Kiribati,2,0,0.0,2.0
366,"Korea, South",148273,1988,139022.0,7263.0
367,Kosovo,107170,2255,104678.0,237.0
368,Kuwait,327963,1820,310095.0,16048.0
369,Kyrgyzstan,110370,1890,102633.0,5847.0
370,Laos,1996,3,1862.0,131.0
371,Latvia,136030,2456,130728.0,2846.0
372,Lebanon,542375,7790,526598.0,7987.0
373,Lesotho,10921,326,6443.0,4152.0
374,Liberia,2535,93,2094.0,348.0
375,Libya,189059,3161,174666.0,11232.0
376,Liechtenstein,3026,59,2948.0,19.0
377,Lithuania,277746,4339,263362.0,10045.0
378,Luxembourg,70406,818,68943.0,645.0
379,MS Zaandam,9,2,7.0,0.0
380,Madagascar,41933,887,40239.0,807.0
381,Malawi,34485,1159,32725.0,601.0
382,Malaysia,657508,3908,580276.0,73324.0
383,Maldives,70301,197,60769.0,9335.0
384,Mali,14350,523,9959.0,3868.0
385,Malta,30581,419,30103.0,59.0
386,Marshall Islands,4,0,4.0,0.0
387,Mauritania,20073,475,19142.0,456.0
388,Mauritius,1673,18,1247.0,408.0
389,Mexico,26649,2446,0.0,24203.0
390,Mexico,49997,8617,0.0,41380.0
391,Mexico,34180,1461,0.0,32719.0
392,Mexico,10674,1243,0.0,9431.0
393,Mexico,11827,1647,0.0,10180.0
394,Mexico,57224,7450,0.0,49774.0
395,Mexico,667881,34375,0.0,633506.0
396,Mexico,69220,6365,0.0,62855.0
397,Mexico,12115,1204,0.0,10911.0
398,Mexico,34458,2489,0.0,31969.0
399,Mexico,132420,11040,0.0,121380.0
400,Mexico,41461,4520,0.0,36941.0
401,Mexico,39243,6258,0.0,32985.0
402,Mexico,87778,12541,0.0,75237.0
403,Mexico,254725,37136,0.0,217589.0
404,Mexico,48973,5910,0.0,43063.0
405,Mexico,34051,3515,0.0,30536.0
406,Mexico,12396,1860,0.0,10536.0
407,Mexico,125369,9643,0.0,115726.0
408,Mexico,47682,3808,0.0,43874.0
409,Mexico,85692,12106,0.0,73586.0
410,Mexico,69420,4446,0.0,64974.0
411,Mexico,29450,2888,0.0,26562.0
412,Mexico,64774,5421,0.0,59353.0
413,Mexico,40237,6343,0.0,33894.0
414,Mexico,76690,6709,0.0,69981.0
415,Mexico,71479,4214,0.0,67265.0
416,Mexico,61644,5110,0.0,56534.0
417,Mexico,20084,2517,0.0,17567.0
418,Mexico,0,0,1954251.0,-1954251.0
419,Mexico,62812,10007,0.0,52805.0
420,Mexico,42671,4037,0.0,38634.0
421,Mexico,30900,2824,0.0,28076.0
422,Micronesia,1,0,1.0,0.0
423,Moldova,255797,6154,248671.0,972.0
424,Monaco,2525,33,2473.0,19.0
425,Mongolia,76084,365,56947.0,18772.0
426,Montenegro,99956,1601,97930.0,425.0
427,Morocco,523890,9211,511126.0,3553.0
428,Mozambique,71538,841,69881.0,816.0
429,Namibia,65089,995,54535.0,9559.0
430,Nepal,608472,8412,531105.0,68955.0
431,Netherlands,11080,107,10953.0,20.0
432,Netherlands,1619,17,1598.0,4.0
433,Netherlands,12295,123,12140.0,32.0
434,Netherlands,34141,353,0.0,33788.0
435,Netherlands,36819,244,0.0,36575.0
436,Netherlands,43610,476,0.0,43134.0
437,Netherlands,187406,2025,0.0,185381.0
438,Netherlands,39107,263,0.0,38844.0
439,Netherlands,115073,1649,0.0,113424.0
440,Netherlands,271261,3134,0.0,268127.0
441,Netherlands,276023,2619,0.0,273404.0
442,Netherlands,109557,1135,0.0,108422.0
443,Netherlands,2522,31,2419.0,72.0
444,Netherlands,3814,15,0.0,3799.0
445,Netherlands,127625,1280,0.0,126345.0
446,Netherlands,29568,248,0.0,29320.0
447,Netherlands,398740,4270,0.0,394470.0
448,New Zealand,2709,26,2656.0,27.0
449,Nicaragua,7662,188,4225.0,3249.0
450,Niger,5446,192,5161.0,93.0
451,Nigeria,167066,2117,163463.0,1486.0
452,North Macedonia,155536,5471,149628.0,437.0
453,Norway,128046,789,17998.0,109259.0
454,Oman,234634,2513,210952.0,21169.0
455,Pakistan,19783,566,18676.0,541.0
456,Pakistan,26232,294,24909.0,1029.0
457,Pakistan,5712,108,5503.0,101.0
458,Pakistan,82139,772,79710.0,1657.0
459,Pakistan,136074,4224,128242.0,3608.0
460,Pakistan,344065,10516,322254.0,11295.0
461,Pakistan,328184,5243,299446.0,23495.0
462,Panama,387842,6444,371984.0,9414.0
463,Papua New Guinea,16682,165,16017.0,500.0
464,Paraguay,391436,10834,324961.0,55641.0
465,Peru,29164,1128,0.0,28036.0
466,Peru,71191,6312,0.0,64879.0
467,Peru,23678,1381,0.0,22297.0
468,Peru,90460,8002,0.0,82458.0
469,Peru,29651,1916,0.0,27735.0
470,Peru,60140,3806,0.0,56334.0
471,Peru,96102,9627,0.0,86475.0
472,Peru,64765,4294,0.0,60471.0
473,Peru,14968,1085,0.0,13883.0
474,Peru,32978,2522,0.0,30456.0
475,Peru,53598,7739,0.0,45859.0
476,Peru,75366,6423,0.0,68943.0
477,Peru,80554,9671,0.0,70883.0
478,Peru,56387,7996,0.0,48391.0
479,Peru,892420,85263,0.0,807157.0
480,Peru,40452,3998,0.0,36454.0
481,Peru,13412,738,0.0,12674.0
482,Peru,25239,1350,0.0,23889.0
483,Peru,14478,953,0.0,13525.0
484,Peru,80114,11338,0.0,68776.0
485,Peru,33469,3510,0.0,29959.0
486,Peru,44834,2816,0.0,42018.0
487,Peru,26295,1766,0.0,24529.0
488,Peru,16916,1486,0.0,15430.0
489,Peru,31425,2980,0.0,28445.0
490,Peru,5569,608,1962124.0,-1957163.0
491,Philippines,1315639,22788,1232986.0,59865.0
492,Poland,2877469,74573,2648504.0,154392.0
493,Portugal,857447,17047,815342.0,25058.0
494,Qatar,219730,577,216944.0,2209.0
495,Romania,1079726,31834,1044237.0,3655.0
496,Russia,14782,216,14268.0,298.0
497,Russia,52410,2362,47075.0,2973.0
498,Russia,17320,247,16806.0,267.0
499,Russia,23045,296,22389.0,360.0
500,Russia,64715,1008,62086.0,1621.0
501,Russia,34804,805,33505.0,494.0
502,Russia,39378,540,37349.0,1489.0
503,Russia,39579,716,37425.0,1438.0
504,Russia,41359,376,40366.0,617.0
505,Russia,39924,951,38607.0,366.0
506,Russia,12426,140,12161.0,125.0
507,Russia,62944,1713,59006.0,2225.0
508,Russia,777,8,743.0,26.0
509,Russia,26386,1472,24157.0,757.0
510,Russia,34256,1505,31686.0,1065.0
511,Russia,15920,190,15564.0,166.0
512,Russia,71326,2541,68213.0,572.0
513,Russia,37037,1242,35051.0,744.0
514,Russia,4552,144,4334.0,74.0
515,Russia,24500,478,23770.0,252.0
516,Russia,34384,516,33230.0,638.0
517,Russia,21049,390,20377.0,282.0
518,Russia,36319,349,34721.0,1249.0
519,Russia,14826,238,14087.0,501.0
520,Russia,20605,159,20255.0,191.0
521,Russia,48044,581,46334.0,1129.0
522,Russia,37783,748,36492.0,543.0
523,Russia,53309,435,51128.0,1746.0
524,Russia,23593,563,22509.0,521.0
525,Russia,58275,801,56788.0,686.0
526,Russia,44811,375,42321.0,2115.0
527,Russia,44635,968,43531.0,136.0
528,Russia,21976,498,19232.0,2246.0
529,Russia,49701,3175,44447.0,2079.0
530,Russia,74810,3826,68706.0,2278.0
531,Russia,21771,431,20813.0,527.0
